model,play_type,precision,recall,f1-score,support,overall_accuracy
LRM,pass,0.9210237141540534,0.80191969383661,0.8573549792120372,32401,0.8555573770491803
LRM,run,0.7626922933661117,0.8954780022741188,0.8237684307927504,22866,0.8555573770491803
LRM,punt,0.9533018867924529,0.9995054401582592,0.975857073877354,4044,0.8555573770491803
LRM,field_goal,0.9917743830787309,0.9994079336885732,0.9955765260984959,1689,0.8555573770491803
LRM,macro avg,0.9071980693478372,0.9240777674893903,0.9131392524951594,61000,0.8555573770491803
LRM,weighted avg,0.8657716574692401,0.8555573770491803,0.8564482357261742,61000,0.8555573770491803
SVC,pass,0.8964389534883721,0.8375358785222679,0.8659869481275829,32401,0.8598360655737705
SVC,run,0.7888101184242327,0.8564243855505992,0.8212278788895412,22866,0.8598360655737705
SVC,punt,0.9603231171299597,0.9995054401582592,0.9795225978432086,4044,0.8598360655737705
SVC,field_goal,0.9970466627288836,0.9994079336885732,0.9982259018332348,1689,0.8598360655737705
SVC,macro avg,0.9106547129428619,0.9232184094799248,0.9162408316733919,61000,0.8598360655737705
SVC,weighted avg,0.8631149048998015,0.8598360655737705,0.8603972576859726,61000,0.8598360655737705
DT,pass,0.9741432256479547,0.9790438566710904,0.9765873932117294,32401,0.9744918032786886
DT,run,0.9697650844021332,0.9622583748797341,0.9659971463066622,22866,0.9744918032786886
DT,punt,0.9933448360857776,0.996538081107814,0.9949388964325392,4044,0.9744918032786886
