type,game_id,team_home,team_away,schedule_week,schedule_season,state_of_game,game_url,home_score,away_score
reg,2012100705,CIN,MIA,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100705/2012100705_gtd.json,13,17
reg,2012100706,KC,BAL,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100706/2012100706_gtd.json,6,9
reg,2012100707,CAR,SEA,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100707/2012100707_gtd.json,12,16
reg,2012100708,JAC,CHI,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100708/2012100708_gtd.json,3,41
reg,2012100709,NE,DEN,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100709/2012100709_gtd.json,31,21
reg,2012100710,SF,BUF,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100710/2012100710_gtd.json,45,3
reg,2012100704,MIN,TEN,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100704/2012100704_gtd.json,30,7
reg,2012100711,NO,SD,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100711/2012100711_gtd.json,31,24
reg,2012100800,NYJ,HOU,5,2012,POST,http://www.nfl.com/liveupdate/game-center/2012100800/2012100800_gtd.json,17,23
reg,2012101100,TEN,PIT,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101100/2012101100_gtd.json,26,23
reg,2012101401,TB,KC,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101401/2012101401_gtd.json,38,10
reg,2012101402,NYJ,IND,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101402/2012101402_gtd.json,35,9
reg,2012101403,CLE,CIN,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101403/2012101403_gtd.json,34,24
reg,2012101404,PHI,DET,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101404/2012101404_gtd.json,23,26
reg,2012101400,ATL,OAK,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101400/2012101400_gtd.json,23,20
reg,2012101405,MIA,STL,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101405/2012101405_gtd.json,17,14
reg,2012101406,BAL,DAL,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101406/2012101406_gtd.json,31,29
reg,2012101407,ARI,BUF,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101407/2012101407_gtd.json,16,19
reg,2012101408,SEA,NE,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101408/2012101408_gtd.json,24,23
reg,2012101409,SF,NYG,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101409/2012101409_gtd.json,3,26
reg,2012101410,WAS,MIN,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101410/2012101410_gtd.json,38,26
reg,2012101411,HOU,GB,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101411/2012101411_gtd.json,24,42
reg,2012101500,SD,DEN,6,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101500/2012101500_gtd.json,24,35
reg,2012101800,SF,SEA,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012101800/2012101800_gtd.json,13,6
reg,2012102101,MIN,ARI,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102101/2012102101_gtd.json,21,14
reg,2012102102,CAR,DAL,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102102/2012102102_gtd.json,14,19
reg,2012102103,TB,NO,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102103/2012102103_gtd.json,28,35
reg,2012102104,STL,GB,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102104/2012102104_gtd.json,20,30
reg,2012102100,NYG,WAS,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102100/2012102100_gtd.json,27,23
reg,2012102105,HOU,BAL,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102105/2012102105_gtd.json,43,13
reg,2012102107,BUF,TEN,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102107/2012102107_gtd.json,34,35
reg,2012102106,IND,CLE,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102106/2012102106_gtd.json,17,13
reg,2012102108,NE,NYJ,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102108/2012102108_gtd.json,29,26
reg,2012102109,OAK,JAC,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102109/2012102109_gtd.json,26,23
reg,2012102110,CIN,PIT,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102110/2012102110_gtd.json,17,24
reg,2012102200,CHI,DET,7,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102200/2012102200_gtd.json,13,7
reg,2012102500,MIN,TB,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102500/2012102500_gtd.json,17,36
reg,2012102801,NYJ,MIA,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102801/2012102801_gtd.json,9,30
reg,2012102802,CLE,SD,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102802/2012102802_gtd.json,7,6
reg,2012102803,TEN,IND,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102803/2012102803_gtd.json,13,19
reg,2012102804,STL,NE,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102804/2012102804_gtd.json,7,45
reg,2012102800,GB,JAC,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102800/2012102800_gtd.json,24,15
reg,2012102805,PHI,ATL,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102805/2012102805_gtd.json,17,30
reg,2012102808,PIT,WAS,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102808/2012102808_gtd.json,27,12
reg,2012102807,DET,SEA,8,2012,POST,http://www.nfl.com/liveupdate/game-center/2012102807/2012102807_gtd.json,28,24
