schedule_season,team_home,off_rate,def_rate,overall_rate,sched_strength,first_downs,first_downs_from_penalties,fumbles,interceptions,margin_of_victory,pass_attempts,pass_completions,pass_first_downs,pass_touchdowns,pass_yards,penalties,plays,points_against,points_contributed_by_offense,points_difference,points_for,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,turnovers,yards,yards_from_penalties,yards_per_play
2012,JAX,-8.1,-4.9,-13.0,-1.1,269,36,9,17,-11.8,586,328,157,20,3419,101,994,444,-192.09,-189,255,30,358,76,5,1369,26,4788,955,4.8
2012,CRD,-4.8,1.6,-3.2,3.5,246,20,13,21,-6.7,608,337,168,11,3005,102,1018,357,-297.04,-107,250,31,352,58,10,1204,34,4209,857,4.1
2012,KAN,-10.3,-3.7,-14.0,-0.6,286,24,17,20,-13.4,475,273,144,8,2713,92,1015,425,-203.56,-214,211,32,500,118,9,2395,37,5108,733,5.0
2013,DEN,14.1,-2.7,11.4,-1.6,435,35,16,10,12.9,675,461,293,55,5444,117,1156,399,277.21,207,606,1,461,107,16,1873,26,7317,1000,6.3
2013,CHI,3.0,-7.1,-4.1,-2.1,344,27,10,13,-2.1,579,373,215,32,4281,85,1013,478,75.28,-33,445,2,404,102,13,1828,23,6109,708,6.0
2013,NWE,4.5,1.4,5.9,-0.7,378,43,9,11,6.6,628,380,225,25,4087,69,1138,338,100.43,106,444,3,470,110,19,2065,20,6152,625,5.4
2013,PHI,2.3,-0.5,1.9,-1.9,355,25,10,9,3.8,508,310,197,32,4110,95,1054,382,134.05,60,442,4,500,133,19,2566,19,6676,846,6.3
2013,DAL,2.7,-3.4,-0.7,-1.1,325,32,8,12,0.4,586,375,213,33,3954,102,957,432,88.89,7,439,5,336,80,12,1504,20,5458,867,5.7
2013,CIN,2.3,3.0,5.4,-2.5,330,24,10,20,7.8,587,364,205,33,4136,102,1097,305,33.5,125,430,6,481,101,14,1755,30,5891,1000,5.4
2013,KAN,1.7,4.3,6.1,-1.7,323,34,10,8,7.8,546,333,179,24,3340,101,1029,305,38.85,125,430,7,442,110,17,2056,18,5396,774,5.2
2013,GNB,0.5,-3.6,-3.1,-2.4,351,31,9,16,-0.7,570,366,201,25,4268,86,1074,428,113.82,-11,417,8,459,119,17,2136,25,6404,801,6.0
2013,SEA,4.1,8.9,13.0,1.4,307,31,10,9,11.6,420,267,160,27,3236,128,973,231,60.55,186,417,9,509,116,14,2188,19,5424,1183,5.6
2013,NOR,3.8,5.0,8.8,1.9,359,28,7,12,6.9,651,446,244,39,4918,95,1079,304,169.86,110,414,10,391,87,10,1473,19,6391,817,5.9
2013,SFO,3.5,6.6,10.1,1.8,286,23,10,8,8.4,417,244,148,21,2979,103,961,272,58.16,134,406,11,505,115,18,2201,18,5180,845,5.4
2013,SDG,0.5,2.1,2.7,-0.3,373,39,10,11,3.0,544,378,230,32,4328,95,1060,348,186.29,48,396,12,486,104,9,1965,21,6293,765,5.9
2013,DET,-1.2,-0.5,-1.6,-2.8,350,23,15,19,1.2,634,371,221,29,4482,110,1102,376,25.59,19,395,13,445,106,15,1792,34,6274,925,5.7
2013,CLT,1.7,2.3,4.0,0.6,318,39,4,10,3.4,582,350,191,23,3725,66,1023,336,98.0,55,391,14,409,88,15,1743,14,5468,576,5.3
2013,MIN,0.2,-6.9,-6.6,-1.1,309,30,13,19,-5.6,546,325,173,18,3427,70,1013,480,24.52,-89,391,15,423,106,23,2081,32,5508,695,5.4
2013,CRD,2.7,3.7,6.4,3.0,329,40,9,22,3.4,574,363,205,24,4002,96,1037,324,-5.74,55,379,16,422,84,12,1540,31,5542,744,5.3
2013,PIT,-0.9,-1.0,-2.0,-2.5,312,24,10,14,0.6,586,377,207,28,4017,80,1023,370,26.81,9,379,17,394,81,9,1383,24,5400,677,5.3
2013,CAR,0.6,8.6,9.2,1.4,319,28,6,13,7.8,473,292,169,24,3043,80,999,241,90.4,125,366,18,483,122,14,2026,19,5069,671,5.1
2013,OTI,-0.2,-0.6,-0.8,0.4,311,36,9,16,-1.2,533,328,172,22,3496,101,1032,381,46.52,-19,362,19,462,103,16,1894,25,5390,900,5.2
2013,ATL,1.2,-3.9,-2.8,2.9,330,39,11,17,-5.6,659,445,227,26,4243,91,1024,443,48.53,-90,353,20,321,64,11,1247,28,5490,788,5.4
2013,RAM,0.4,1.8,2.2,3.2,282,35,10,11,-1.0,506,301,165,22,3125,123,968,364,-11.2,-16,348,21,426,82,10,1752,21,4877,1009,5.0
2013,BUF,-1.3,-1.9,-3.2,-0.1,301,39,12,15,-3.1,522,299,149,16,3103,110,1116,388,-59.11,-49,339,22,546,113,15,2307,27,5410,954,4.8
